,id,value1,category,category_mean
0,1.0,1.764052345967664,C,
1,2.0,0.4001572083672233,C,
2,3.0,0.9787379841057392,A,
3,4.0,2.240893199201458,B,
4,5.0,1.8675579901499677,C,
5,6.0,-0.977277879876411,D,
6,7.0,0.9500884175255894,B,
7,8.0,-0.1513572082976979,A,
8,9.0,-0.1032188517935578,A,
9,10.0,0.4105985019383723,B,
10,11.0,0.144043571160878,A,
11,12.0,1.454273506962975,B,
12,13.0,0.7610377251469934,B,
13,14.0,0.1216750164928284,A,
14,15.0,0.4438632327454256,D,
15,16.0,0.3336743273742668,B,
16,17.0,1.494079073157606,D,
17,18.0,-0.2051582637658008,C,
18,19.0,0.3130677016509013,D,
19,20.0,-0.8540957393017248,D,
20,21.0,-2.5529898158340787,D,
21,22.0,0.6536185954403606,C,
22,23.0,0.8644361988595057,C,
23,24.0,-0.7421650204064419,C,
24,25.0,2.269754623987608,C,
25,26.0,-1.4543656745987648,B,
26,27.0,0.045758517301446,C,
27,28.0,-0.1871838500258336,D,
28,29.0,1.5327792143584575,B,
29,30.0,1.469358769900285,A,
30,31.0,0.1549474256969163,D,
31,32.0,0.3781625196021735,C,
32,33.0,-0.8877857476301128,B,
33,34.0,-1.980796468223927,D,
34,35.0,-0.3479121493261526,D,
35,36.0,0.15634896910398,B,
36,37.0,1.2302906807277207,B,
37,38.0,1.2023798487844113,C,
38,39.0,-0.3873268174079523,C,
39,40.0,-0.3023027505753355,B,
40,41.0,-1.0485529650670926,C,
41,42.0,-1.4200179371789752,D,
42,43.0,-1.7062701906250126,C,
43,44.0,1.9507753952317897,B,
44,45.0,-0.5096521817516535,B,
45,46.0,-0.4380743016111864,B,
46,47.0,-1.2527953600499262,A,
47,48.0,0.7774903558319101,D,
48,49.0,-1.6138978475579515,C,
49,50.0,-0.2127402802139687,A,
50,51.0,-0.8954665611936756,C,
51,52.0,0.386902497859262,D,
52,53.0,-0.510805137568873,D,
53,54.0,-1.180632184122412,D,
54,55.0,-0.0281822283386548,C,
55,56.0,0.4283318705304176,A,
56,57.0,0.0665172223831678,C,
57,58.0,0.3024718977397814,D,
58,59.0,-0.6343220936809636,D,
59,60.0,-0.3627411659871381,D,
60,61.0,-0.672460447775951,A,
61,62.0,-0.3595531615405413,A,
62,63.0,-0.813146282044454,C,
63,64.0,-1.7262826023316769,B,
64,65.0,0.1774261422537528,A,
65,66.0,-0.4017809362082619,A,
66,67.0,-1.6301983469660446,A,
67,68.0,0.4627822555257742,A,
68,69.0,-0.9072983643832422,C,
69,70.0,0.0519453957961389,C,
70,71.0,0.7290905621775369,D,
71,72.0,0.1289829107574106,A,
72,73.0,1.139400684543301,C,
73,74.0,-1.2348258203536526,B,
74,75.0,0.402341641177549,C,
75,76.0,-0.6848100909403132,B,
76,77.0,-0.8707971491818818,D,
77,78.0,-0.5788496647644155,D,
78,79.0,-0.3115525321273726,D,
79,80.0,0.0561653422297454,B,
80,81.0,-1.1651498407833565,C,
81,82.0,0.9008264869541872,C,
82,83.0,0.4656624397304598,D,
83,84.0,-1.5362436862772235,D,
84,85.0,1.4882521937955997,B,
85,86.0,1.8958891760305832,A,
86,87.0,1.1787795711596507,B,
87,88.0,-0.1799248358123509,A,
88,89.0,-1.0707526215105423,D,
89,90.0,1.0544517269311366,C,
90,91.0,-0.4031769469731796,B,
91,92.0,1.2224450703824274,D,
92,93.0,0.2082749780768603,A,
93,94.0,0.9766390364837128,C,
94,95.0,0.3563663971744019,A,
95,96.0,0.7065731681919482,A,
96,97.0,0.0105000207208204,A,
97,98.0,1.7858704939058352,B,
98,99.0,0.1269120927036199,B,
99,100.0,0.4019893634447016,C,
100,101.0,1.8831506970562544,C,
101,102.0,-1.3477590611424464,D,
102,103.0,-1.2704849984857336,D,
103,104.0,0.9693967081580112,D,
104,105.0,-1.17312340511416,C,
105,106.0,1.9436211856492929,D,
106,107.0,-0.4136189807597473,A,
107,108.0,-0.7474548114407578,B,
108,109.0,1.9229420264803847,A,
109,110.0,1.4805147914344243,B,
110,111.0,1.8675589604265697,D,
111,112.0,0.9060446582753852,A,
112,113.0,-0.8612256850547025,D,
113,114.0,1.9100649530990337,B,
114,115.0,-0.2680033709513804,C,
115,116.0,0.8024563957963952,C,
116,117.0,0.947251967773748,C,
117,118.0,-0.1550100930908342,D,
118,119.0,0.6140793703460803,B,
119,120.0,0.9222066715665268,A,
120,121.0,0.3764255311556294,A,
121,122.0,-1.0994007905841945,B,
122,123.0,0.298238174206056,D,
123,124.0,1.3263858966870303,D,
124,125.0,-0.6945678597313655,A,
125,126.0,-0.1496345403276707,A,
126,127.0,-0.4351535517216374,C,
127,128.0,1.8492637284793416,A,
128,129.0,0.6722947570124355,A,
129,130.0,0.4074618362411104,C,
130,131.0,-0.7699160744453164,B,
131,132.0,0.5392491912918173,C,
132,133.0,-0.6743326606573761,B,
133,134.0,0.0318305582743511,C,
134,135.0,-0.635846078378881,C,
135,136.0,0.6764332949464997,D,
136,137.0,0.5765908166149409,B,
137,138.0,-0.2082987555779948,C,
138,139.0,0.3960067126616453,D,
139,140.0,-1.0930615087305058,C,
140,141.0,-1.4912575927056055,C,
141,142.0,0.4393917012645369,A,
142,143.0,0.166673495372529,D,
143,144.0,0.6350314368921064,A,
144,145.0,2.383144774863942,C,
145,146.0,0.9444794869904138,A,
146,147.0,-0.9128222254441586,B,
147,148.0,1.117016288095853,C,
148,149.0,-1.3159074105115212,D,
149,150.0,-0.461584604814709,C,
150,151.0,-0.0682416053246312,C,
151,152.0,1.7133427216493666,B,
152,153.0,-0.7447548220484399,C,
153,154.0,-0.8264385386590144,B,
154,155.0,-0.0984525244254323,B,
155,156.0,-0.6634782863621074,C,
156,157.0,1.126635922106507,B,
157,158.0,-1.079931508363423,B,
158,159.0,-1.1474686524111024,D,
159,160.0,-0.437820044744434,C,
160,161.0,-0.4980324506923049,A,
161,162.0,1.9295320538169856,B,
162,163.0,0.9494208069257608,B,
163,164.0,0.0875512413851909,D,
164,165.0,-1.225435518830168,D,
165,166.0,0.8443629764015471,B,
166,167.0,-1.0002153473895647,D,
167,168.0,-1.5447710967776116,D,
