,score
1,757
2,358
3,494
4,35
5,909
6,757
7,189
8,595
9,190
10,123
11,752
12,576
13,939
14,370
15,836
16,101
17,305
18,769
19,285
20,286
21,536
22,276
23,47
24,462
25,785
26,799
27,878
28,475
29,955
30,905
31,978
32,557
33,109
34,898
35,170
36,480
37,113
38,868
39,7
40,801
41,682
42,505
43,199
44,66
45,607
46,762
47,940
48,702
49,86
50,9
51,341
52,65
53,470
54,869
55,465
56,763
57,156
58,924
59,41
60,324
61,725
62,513
63,379
64,776
65,777
66,80
67,470
68,444
69,446
70,287
71,914
72,694
73,470
74,727
75,372
76,264
77,860
78,413
79,776
80,622
81,163
82,265
83,989
84,984
85,198
86,513
87,441
88,103
89,200
90,54
91,588
92,258
93,614
94,882
95,365
96,545
97,393
98,296
99,936
100,632
101,722
102,879
103,952
104,163
105,408
106,70
107,949
108,527
109,778
110,965
111,253
112,440
113,832
114,520
115,153
116,396
117,993
118,689
119,253
120,21
121,380
122,158
123,931
124,912
125,597
126,933
127,674
128,35
129,615
130,142
131,822
132,995
133,809
134,960
135,821
136,573
137,169
138,534
139,53
140,37
141,932
142,786
143,663
144,454
145,586
146,624
147,351
148,752
149,998
150,116
151,735
152,950
153,516
154,891
155,614
156,235
157,89
158,289
159,441
160,223
161,732
162,867
163,380
164,476
165,292
166,407
167,306
168,634
169,934
170,880
171,393
172,817
173,454
174,731
175,39
176,944
177,770
178,238
179,92
180,599
181,892
182,331
183,423
184,454
185,222
186,480
187,114
188,898
189,276
190,43
191,53
192,959
193,251
194,565
195,702
196,348
197,817
198,431
199,740
200,349
201,297
202,893
203,121
204,332
205,74
206,547
207,595
208,278
209,374
210,840
211,915
212,978
213,624
214,58
215,468
216,691
217,39
218,286
219,573
220,649
221,203
222,266
223,516
224,574
225,6
226,460
227,866
228,729
229,338
230,6
231,580
232,371
233,431
234,277
235,323
236,806
237,500
238,801
239,778
240,657
241,881
242,346
243,283
244,794
245,533
246,715
247,396
248,104
249,146
250,579
251,566
252,67
253,91
254,858
255,43
256,931
257,2
258,215
259,93
260,864
261,188
262,209
263,513
264,287
265,693
266,683
267,67
268,827
269,788
270,749
271,973
272,606
273,544
274,201
275,526
276,413
277,859
278,26
279,753
280,115
281,668
282,226
283,369
284,103
285,815
286,133
287,30
288,580
289,889
290,653
291,869
292,719
293,886
294,943
295,559
296,525
297,226
298,985
299,987
300,517
301,398
302,286
303,36
304,686
305,780
306,366
307,241
308,727
309,527
310,691
311,434
312,629
313,185
314,481
315,457
316,833
317,804
318,920
319,824
320,768
321,311
322,959
323,371
324,941
325,967
326,297
327,617
328,122
329,944
330,385
331,693
332,165
333,711
334,129
335,685
336,256
337,687
338,969
339,107
340,484
341,500
342,109
343,19
344,792
345,446
346,563
347,311
348,614
349,524
350,403
351,120
352,476
353,206
354,562
355,172
356,358
357,380
358,912
359,9
360,729
361,592
362,251
363,180
364,817
365,559
366,886
367,348
368,682
369,412
370,698
371,355
372,125
373,102
374,512
375,863
376,412
377,510
378,38
379,978
380,727
381,817
382,874
383,770
384,366
385,170
386,56
387,322
388,160
389,551
390,377
391,981
392,655
393,24
394,63
395,208
396,17
397,865
398,149
399,172
400,140
401,716
402,816
403,147
404,785
405,79
406,410
407,791
408,257
409,693
410,866
411,431
412,700
413,223
414,115
415,795
416,802
417,999
418,228
419,944
420,403
421,134
422,177
423,728
424,752
425,641
426,365
427,65
428,334
429,116
430,241
431,908
432,387
433,89
434,839
435,874
436,216
437,237
438,895
439,929
440,985
441,393
442,512
443,491
444,186
445,750
446,746
447,98
448,767
449,128
450,778
451,75
452,924
453,934
454,859
455,673
456,13
457,803
458,129
459,655
460,288
461,636
462,839
463,280
464,747
465,65
466,589
467,34
468,533
469,974
470,171
471,741
472,843
473,492
474,467
475,745
476,68
477,476
478,534
479,262
480,391
481,651
482,636
483,764
484,448
485,726
486,180
487,848
488,159
489,773
490,743
491,306
492,205
493,720
494,607
495,837
496,442
497,807
498,638
499,436
500,471
501,381
502,874
503,275
504,318
505,306
506,108
507,168
508,125
509,715
510,276
511,919
512,62
513,908
514,383
515,363
516,37
517,827
518,612
519,78
520,944
521,657
522,569
523,195
524,996
525,467
526,612
527,308
528,77
529,514
530,777
531,998
532,900
533,104
534,517
535,719
536,191
537,283
538,458
539,850
540,532
541,890
542,346
543,245
544,153
545,90
546,624
547,122
548,792
549,193
550,539
551,668
552,692
553,402
554,22
555,162
556,252
557,209
558,562
559,888
560,190
561,972
562,291
563,466
564,576
565,493
566,817
567,434
568,525
569,452
570,759
571,988
572,810
573,449
574,505
575,242
576,645
577,373
578,624
579,928
580,738
581,302
582,144
583,845
584,478
585,101
586,389
587,320
588,176
589,995
590,439
591,309
592,466
593,606
594,145
595,527
596,515
597,940
598,642
599,233
600,762
601,729
602,389
603,249
604,581
605,940
606,413
607,533
608,403
609,392
610,435
611,11
612,272
613,238
614,510
615,727
616,814
617,343
618,807
619,992
620,653
621,183
622,245
623,699
624,831
625,475
626,32
627,127
628,908
629,814
630,249
631,387
632,903
633,248
634,808
635,422
636,866
637,770
638,872
639,247
640,755
641,937
642,88
643,633
644,0
645,560
646,237
647,830
648,734
649,31
650,231
651,337
652,376
653,493
654,614
655,301
656,693
657,303
658,942
659,810
660,666
661,228
662,959
663,283
664,151
665,878
666,649
667,392
668,803
669,398
670,558
671,475
672,272
673,587
674,305
675,313
676,618
677,739
678,915
679,750
680,807
681,586
682,343
683,971
684,969
685,403
686,199
687,69
688,472
689,140
690,181
691,978
692,217
693,886
694,142
695,778
696,83
697,964
698,572
699,93
700,966
701,40
702,535
703,792
704,182
705,165
706,3
707,79
708,287
709,860
710,319
711,754
712,888
713,715
714,725
715,738
716,299
717,700
718,717
719,102
720,648
721,534
722,458
723,907
724,660
725,589
726,365
727,744
728,994
729,230
730,385
731,223
732,661
733,382
734,330
735,153
736,508
737,853
738,253
739,229
740,612
741,667
742,254
743,415
744,140
745,538
746,38
747,264
748,754
749,551
750,566
751,683
752,987
753,777
754,578
755,140
756,2
757,604
758,980
759,966
760,296
761,335
762,718
763,765
764,214
765,512
766,316
767,647
768,274
769,164
770,459
771,93
772,808
773,244
774,897
775,182
776,5
777,779
778,595
779,35
