id,extra_info
1,Y
2,Y
3,Y
4,Y
5,X
6,X
7,Z
8,Y
9,Y
10,Z
11,Y
12,Y
13,Y
14,Y
15,Z
16,Z
17,X
18,Z
19,X
20,X
21,Z
22,X
23,X
24,Z
25,Z
26,Y
27,Z
28,X
29,X
30,Y
31,Y
32,X
33,X
34,Z
35,Z
36,Y
37,Y
38,X
39,Z
40,Z
41,Z
42,X
43,Z
44,Y
45,X
46,Z
47,X
48,X
49,Y
50,X
51,Z
52,Y
53,Y
54,X
55,Y
56,X
57,X
58,Y
59,Y
60,Z
61,Y
62,X
63,X
64,X
65,X
66,Z
67,Z
68,Z
69,Z
70,X
71,Z
72,X
73,Y
74,Z
75,Z
76,Y
77,Z
78,Z
79,X
80,Z
81,X
82,Z
83,Z
84,Y
85,Y
86,Z
87,Z
88,Y
89,X
90,Y
91,Z
92,Y
93,X
94,Y
95,X
96,Z
97,Y
98,Y
99,Y
100,Y
101,Z
102,Y
103,X
104,Y
105,Y
106,X
107,X
108,X
109,Y
110,Y
111,X
112,Y
113,X
114,Y
115,Y
116,Y
117,Z
118,X
119,Y
120,Y
121,Y
122,Y
123,Z
124,X
125,X
126,Z
127,Z
128,Y
129,Z
130,Y
131,Z
132,Z
133,Y
134,X
135,Y
136,Y
137,Y
138,X
139,X
140,Z
141,X
142,Z
143,Z
144,Z
145,X
146,X
147,Y
148,Z
149,Z
150,Z
151,X
152,Y
153,X
154,X
155,X
156,X
157,Y
158,X
159,X
160,Y
161,X
162,X
163,X
164,Y
165,X
166,Z
167,Y
168,Z
169,Z
170,X
171,Z
172,Y
173,X
174,Y
175,Z
176,Y
177,X
178,Y
179,X
180,Z
181,Y
182,X
183,X
184,Z
185,Y
186,Y
187,X
188,Z
189,X
190,X
191,Y
192,Y
193,X
194,Z
195,Z
196,Z
197,Y
198,Z
199,Y
200,X
201,X
202,Z
203,X
204,Z
205,Y
206,Z
207,X
208,Z
209,Y
210,Z
211,Z
212,X
213,X
214,X
215,Y
216,X
217,Y
218,X
219,X
220,X
221,Y
222,X
223,X
224,X
225,X
226,Y
227,Z
228,Y
229,Y
230,X
231,Y
232,X
233,Z
234,X
235,Z
236,Z
237,Y
238,X
239,Z
240,X
241,Y
242,X
243,Z
244,X
245,Z
246,Y
247,Y
248,Z
249,Z
250,Z
251,Z
252,X
253,X
254,Y
255,Y
256,Y
257,Y
258,X
259,Z
260,Z
261,X
262,Y
263,Z
264,Z
265,Z
266,Y
267,X
268,Z
269,Y
270,Y
271,X
272,Y
273,X
274,Z
275,X
276,Z
277,X
278,X
279,X
280,Y
281,X
282,X
283,Z
284,X
285,X
286,X
287,Z
288,Z
289,Z
290,Y
291,Y
292,Y
293,Z
294,Z
295,X
296,X
297,Y
298,Y
299,Z
300,X
301,Z
302,Z
303,Z
304,X
305,X
306,X
307,Z
308,Z
309,Z
310,Y
311,X
312,Y
313,Z
314,Y
315,X
316,Y
317,Y
318,Y
319,X
320,Z
321,Z
322,Z
323,Y
324,X
325,X
326,X
327,Z
328,X
329,Z
330,Y
331,Y
332,X
333,Y
334,Z
335,Z
336,Z
337,Z
338,X
339,X
340,Z
341,X
342,Z
343,Z
344,X
345,Z
346,X
347,X
348,Z
349,Y
350,X
351,Y
352,X
353,Z
354,Y
355,X
356,Y
357,Y
358,Y
359,X
360,X
361,Z
362,X
363,Y
364,Z
365,X
366,X
