Region,Store,Date,ProductCategory,UnitsSold,UnitPrice,Revenue
North,Store_12,2020-06-28,Home & Kitchen,6,341.7,2050.2
West,Store_10,2020-07-05,Sports,6,262.05,1572.3000000000002
South,Store_4,2020-10-21,Toys,10,359.36,3593.6000000000004
North,Store_15,2020-06-12,Sports,19,352.82,6703.58
West,Store_1,2021-01-29,Clothing,19,493.96,9385.24
West,Store_13,2020-02-11,Toys,1,184.54,184.54
West,Store_14,2021-08-22,Clothing,11,53.9,592.9
West,Store_15,2021-08-02,Home & Kitchen,16,476.48,7623.68
South,Store_20,2021-01-13,Sports,5,490.44,2452.2
West,Store_20,2021-04-28,Home & Kitchen,6,11.08,66.48
South,Store_18,2021-03-01,Clothing,11,147.97,1627.67
East,Store_7,2020-08-30,Sports,6,37.1,222.60000000000002
North,Store_16,2021-06-14,Sports,15,165.11,2476.65
West,Store_2,2020-04-11,Electronics,5,254.51,1272.55
East,Store_14,2020-08-15,Clothing,11,433.71,4770.8099999999995
North,Store_12,2020-06-04,Toys,3,183.16,549.48
North,Store_1,2021-12-05,Electronics,16,397.99,6367.84
North,Store_15,2021-02-11,Home & Kitchen,6,429.01,2574.06
East,Store_15,2020-10-05,Clothing,8,383.92,3071.36
South,Store_5,2020-07-08,Clothing,14,390.09,5461.259999999999
East,Store_6,2020-09-09,Home & Kitchen,10,333.84,3338.3999999999996
West,Store_11,2020-08-23,Sports,6,483.04,2898.2400000000002
West,Store_4,2021-10-15,Toys,14,238.5,3339.0
East,Store_5,2021-08-17,Toys,7,17.5,122.5
North,Store_6,2020-04-17,Toys,17,498.96,8482.32
South,Store_12,2021-10-26,Sports,18,215.81,3884.58
South,Store_14,2021-04-25,Home & Kitchen,2,444.29,888.58
South,Store_13,2021-07-03,Clothing,17,491.39,8353.63
South,Store_8,2021-04-18,Sports,10,13.94,139.4
North,Store_6,2021-03-29,Toys,2,296.16,592.32
South,Store_11,2021-11-10,Sports,15,52.23,783.4499999999999
North,Store_4,2021-07-26,Toys,12,371.76,4461.12
West,Store_3,2020-08-17,Sports,19,71.94,1366.86
North,Store_2,2020-04-17,Home & Kitchen,18,341.22,6141.960000000001
West,Store_12,2020-06-24,Clothing,15,328.12,4921.8
South,Store_17,2021-12-21,Sports,11,260.93,2870.23
East,Store_8,2020-06-12,Sports,19,337.89,6419.91
West,Store_18,2020-04-15,Home & Kitchen,14,349.47,4892.58
West,Store_15,2020-04-02,Home & Kitchen,4,335.94,1343.76
North,Store_17,2020-05-15,Home & Kitchen,7,387.76,2714.3199999999997
East,Store_8,2021-01-21,Electronics,16,287.02,4592.32
West,Store_19,2020-03-29,Toys,17,480.54,8169.18
North,Store_5,2021-08-30,Toys,3,381.54,1144.6200000000001
South,Store_4,2020-05-17,Toys,16,10.64,170.24
West,Store_18,2020-09-08,Sports,4,92.03,368.12
South,Store_17,2021-03-03,Sports,12,355.57,4266.84
West,Store_10,2020-05-02,Toys,19,364.47,6924.93
West,Store_10,2021-11-11,Clothing,12,341.15,4093.7999999999997
East,Store_3,2021-03-16,Home & Kitchen,12,60.6,727.2
West,Store_7,2021-08-20,Toys,18,323.11,5815.9800000000005
North,Store_13,2020-02-22,Toys,6,14.66,87.96000000000001
South,Store_17,2021-08-01,Sports,18,257.78,4640.039999999999
South,Store_18,2021-08-28,Electronics,7,429.98,3009.86
South,Store_9,2021-06-16,Home & Kitchen,12,489.15,5869.799999999999
West,Store_15,2020-06-28,Electronics,4,13.79,55.16
North,Store_5,2021-01-01,Sports,18,80.81,1454.58
West,Store_10,2021-04-27,Sports,7,236.65,1656.55
East,Store_7,2020-11-30,Sports,3,439.96,1319.8799999999999
North,Store_9,2020-06-05,Clothing,18,174.57,3142.2599999999998
West,Store_18,2020-09-04,Toys,16,149.43,2390.88
West,Store_10,2021-03-11,Clothing,15,303.57,4553.55
East,Store_2,2020-10-04,Home & Kitchen,5,59.98,299.9
West,Store_5,2020-10-16,Toys,19,491.45,9337.55
East,Store_1,2021-12-20,Toys,19,204.79,3891.0099999999998
West,Store_10,2020-07-28,Electronics,16,299.28,4788.48
North,Store_15,2021-09-22,Sports,19,167.29,3178.5099999999998
East,Store_3,2021-04-29,Electronics,16,419.33,6709.28
North,Store_6,2021-12-27,Electronics,15,218.18,3272.7000000000003
North,Store_8,2021-04-05,Clothing,7,496.47,3475.29
North,Store_19,2020-12-12,Toys,13,38.55,501.15
South,Store_19,2020-06-09,Electronics,7,273.79,1916.5300000000002
South,Store_16,2020-06-10,Toys,11,329.89,3628.79
East,Store_7,2021-06-05,Clothing,4,207.49,829.96
North,Store_17,2020-07-18,Home & Kitchen,3,67.48,202.44
North,Store_19,2021-02-11,Clothing,3,100.7,302.1
South,Store_4,2021-03-31,Clothing,12,429.62,5155.4400000000005
West,Store_18,2020-05-19,Toys,18,499.2,8985.6
North,Store_6,2021-12-27,Electronics,18,133.94,2410.92
South,Store_6,2020-06-12,Sports,12,174.35,2092.2
East,Store_3,2020-06-01,Clothing,19,21.93,416.67
East,Store_2,2020-07-20,Sports,15,83.16,1247.3999999999999
West,Store_11,2020-02-16,Clothing,14,48.33,676.62
North,Store_3,2021-11-14,Sports,16,79.92,1278.72
