Region,Store,Date,ProductCategory,UnitsSold,UnitPrice,Revenue
East,Store_7,2020-08-30,Sports,6,37.1,222.6
East,Store_14,2020-08-15,Clothing,11,433.71,4770.81
East,Store_15,2020-10-05,Clothing,8,383.92,3071.36
East,Store_6,2020-09-09,Home & Kitchen,10,333.84,3338.4
East,Store_5,2021-08-17,Toys,7,17.5,122.5
East,Store_8,2020-06-12,Sports,19,337.89,6419.91
East,Store_8,2021-01-21,Electronics,16,287.02,4592.32
East,Store_3,2021-03-16,Home & Kitchen,12,60.6,727.2
East,Store_7,2020-11-30,Sports,3,439.96,1319.88
East,Store_2,2020-10-04,Home & Kitchen,5,59.98,299.9
East,Store_1,2021-12-20,Toys,19,204.79,3891.01
East,Store_3,2021-04-29,Electronics,16,419.33,6709.28
East,Store_7,2021-06-05,Clothing,4,207.49,829.96
East,Store_3,2020-06-01,Clothing,19,21.93,416.67
East,Store_2,2020-07-20,Sports,15,83.16,1247.4
East,Store_8,2020-10-25,Home & Kitchen,1,21.44,21.44
East,Store_9,2020-03-26,Clothing,5,473.25,2366.25
East,Store_9,2020-07-03,Sports,2,47.1,94.2
East,Store_2,2021-12-12,Clothing,3,318.91,956.73
East,Store_18,2020-06-28,Toys,19,17.55,333.45
East,Store_20,2021-07-11,Clothing,9,139.52,1255.68
East,Store_2,2020-10-12,Home & Kitchen,12,366.64,4399.68
East,Store_9,2020-10-13,Clothing,5,135.18,675.9000000000001
East,Store_13,2020-06-19,Clothing,8,277.68,2221.44
East,Store_16,2021-04-01,Clothing,11,344.82,3793.02
East,Store_20,2020-01-19,Sports,15,250.54,3758.1
East,Store_13,2021-01-22,Sports,5,128.19,640.95
East,Store_14,2021-02-08,Home & Kitchen,15,320.36,4805.400000000001
East,Store_6,2021-09-26,Electronics,16,361.02,5776.32
East,Store_7,2020-08-23,Sports,14,451.21,6316.94
East,Store_10,2020-06-17,Home & Kitchen,7,74.67,522.69
East,Store_11,2020-11-20,Electronics,19,57.58,1094.02
East,Store_14,2020-02-11,Toys,1,128.02,128.02
East,Store_10,2020-04-15,Electronics,10,73.54,735.4000000000001
East,Store_20,2020-05-20,Toys,13,488.54,6351.02
East,Store_5,2020-01-19,Clothing,15,170.75,2561.25
East,Store_9,2021-12-23,Sports,5,319.87,1599.35
East,Store_18,2021-02-27,Toys,5,275.52,1377.6
East,Store_8,2021-01-08,Home & Kitchen,11,173.94,1913.34
East,Store_11,2020-06-09,Toys,3,43.47,130.41
East,Store_10,2021-09-02,Home & Kitchen,16,153.51,2456.16
East,Store_19,2021-03-11,Sports,18,309.2,5565.599999999999
East,Store_7,2020-05-25,Home & Kitchen,9,259.01,2331.09
East,Store_12,2021-09-04,Sports,10,489.49,4894.9
East,Store_9,2021-01-04,Toys,10,104.99,1049.9
East,Store_20,2021-02-07,Toys,6,272.6,1635.6
East,Store_3,2020-10-31,Clothing,15,495.6,7434.0
East,Store_1,2021-05-25,Toys,16,137.12,2193.92
East,Store_16,2021-06-06,Toys,3,334.7,1004.1
East,Store_13,2021-01-27,Sports,5,179.41,897.05
East,Store_18,2021-12-21,Electronics,9,421.34,3792.06
East,Store_16,2020-12-16,Sports,7,44.77,313.39000000000004
East,Store_3,2020-01-11,Toys,17,42.92,729.64
East,Store_4,2021-09-16,Sports,17,455.22,7738.740000000001
East,Store_6,2021-12-06,Electronics,4,368.64,1474.56
East,Store_15,2021-03-08,Sports,12,228.99,2747.88
East,Store_10,2020-01-17,Electronics,8,101.58,812.64
East,Store_5,2020-08-07,Sports,15,403.97,6059.55
East,Store_13,2020-08-11,Sports,16,41.48,663.68
East,Store_3,2020-05-16,Home & Kitchen,3,99.25,297.75
East,Store_18,2020-05-05,Clothing,7,241.36,1689.52
East,Store_5,2020-12-13,Clothing,1,132.02,132.02
East,Store_12,2021-09-04,Toys,2,123.72,247.44
East,Store_15,2021-06-21,Toys,4,427.12,1708.48
East,Store_20,2021-01-25,Electronics,4,42.26,169.04
East,Store_13,2021-06-01,Toys,10,416.59,4165.9
East,Store_15,2021-04-24,Sports,9,166.58,1499.22
East,Store_6,2020-03-31,Electronics,11,271.31,2984.41
East,Store_9,2021-04-01,Clothing,19,499.57,9491.83
East,Store_1,2020-12-31,Toys,4,397.14,1588.56
East,Store_10,2021-06-21,Home & Kitchen,5,456.56,2282.8
East,Store_18,2021-06-17,Electronics,13,458.66,5962.58
East,Store_20,2020-01-11,Electronics,15,239.03,3585.45
East,Store_10,2020-03-11,Clothing,16,59.76,956.16
East,Store_19,2020-03-10,Toys,8,75.89,607.12
East,Store_3,2020-06-22,Home & Kitchen,11,247.41,2721.51
East,Store_8,2020-05-03,Sports,10,439.41,4394.1
East,Store_2,2020-06-29,Clothing,10,147.18,1471.8000000000002
East,Store_3,2020-06-20,Home & Kitchen,2,144.06,288.12
East,Store_8,2020-08-11,Toys,8,78.71,629.68
East,Store_1,2020-07-07,Clothing,8,98.57,788.56
East,Store_9,2021-04-07,Toys,14,179.83,2517.6200000000003
East,Store_18,2020-04-29,Sports,5,127.81,639.05
East,Store_15,2021-10-17,Clothing,13,26.49,344.37
East,Store_2,2020-09-29,Sports,12,315.24,3782.88
