Region,Store,Date,ProductCategory,UnitsSold,UnitPrice,Revenue
North,Store_12,2020-06-28,Home & Kitchen,6,341.7,2050.2
North,Store_15,2020-06-12,Sports,19,352.82,6703.58
North,Store_16,2021-06-14,Sports,15,165.11,2476.65
North,Store_12,2020-06-04,Toys,3,183.16,549.48
North,Store_1,2021-12-05,Electronics,16,397.99,6367.84
North,Store_15,2021-02-11,Home & Kitchen,6,429.01,2574.06
North,Store_6,2020-04-17,Toys,17,498.96,8482.32
North,Store_6,2021-03-29,Toys,2,296.16,592.32
North,Store_4,2021-07-26,Toys,12,371.76,4461.12
North,Store_2,2020-04-17,Home & Kitchen,18,341.22,6141.960000000001
North,Store_17,2020-05-15,Home & Kitchen,7,387.76,2714.32
North,Store_5,2021-08-30,Toys,3,381.54,1144.62
North,Store_13,2020-02-22,Toys,6,14.66,87.96000000000001
North,Store_5,2021-01-01,Sports,18,80.81,1454.58
North,Store_9,2020-06-05,Clothing,18,174.57,3142.26
North,Store_15,2021-09-22,Sports,19,167.29,3178.51
North,Store_6,2021-12-27,Electronics,15,218.18,3272.7000000000003
North,Store_8,2021-04-05,Clothing,7,496.47,3475.29
North,Store_19,2020-12-12,Toys,13,38.55,501.15
North,Store_17,2020-07-18,Home & Kitchen,3,67.48,202.44
North,Store_19,2021-02-11,Clothing,3,100.7,302.1
North,Store_6,2021-12-27,Electronics,18,133.94,2410.92
North,Store_3,2021-11-14,Sports,16,79.92,1278.72
North,Store_1,2021-11-19,Sports,9,364.62,3281.58
North,Store_15,2021-06-08,Sports,19,189.84,3606.96
North,Store_5,2021-01-22,Home & Kitchen,19,66.82,1269.58
North,Store_14,2020-03-31,Sports,11,494.7,5441.7
North,Store_8,2021-10-25,Clothing,7,294.46,2061.22
North,Store_4,2021-12-22,Sports,16,229.39,3670.24
North,Store_2,2021-03-26,Home & Kitchen,8,382.17,3057.36
North,Store_13,2020-02-18,Toys,6,372.46,2234.76
North,Store_20,2021-06-17,Electronics,2,139.48,278.96
North,Store_9,2020-07-09,Electronics,13,473.1,6150.3
North,Store_4,2020-06-18,Electronics,7,277.04,1939.28
North,Store_6,2020-09-08,Electronics,9,418.43,3765.87
North,Store_7,2020-05-08,Home & Kitchen,11,251.42,2765.62
North,Store_5,2021-11-19,Home & Kitchen,14,126.82,1775.48
North,Store_6,2021-02-06,Electronics,6,213.39,1280.34
North,Store_16,2020-09-26,Sports,6,132.25,793.5
North,Store_2,2021-11-21,Electronics,19,303.76,5771.44
North,Store_16,2020-12-02,Toys,15,318.84,4782.599999999999
North,Store_18,2021-07-29,Toys,2,366.81,733.62
North,Store_19,2021-02-06,Electronics,4,409.92,1639.68
North,Store_16,2021-12-01,Electronics,17,52.9,899.3
North,Store_19,2020-11-18,Electronics,9,236.85,2131.65
North,Store_6,2020-03-03,Toys,13,294.21,3824.73
North,Store_18,2020-01-13,Sports,3,68.71,206.13
North,Store_17,2020-11-21,Clothing,1,330.95,330.95
North,Store_17,2021-02-25,Home & Kitchen,14,440.43,6166.02
North,Store_10,2021-08-22,Sports,8,186.77,1494.16
North,Store_13,2021-06-20,Sports,3,103.09,309.27
North,Store_5,2020-04-17,Sports,12,311.39,3736.68
North,Store_18,2021-02-13,Sports,2,40.15,80.3
North,Store_17,2021-02-24,Home & Kitchen,2,484.05,968.1
North,Store_1,2020-11-08,Toys,19,424.41,8063.790000000001
North,Store_8,2020-12-07,Toys,6,276.85,1661.1
North,Store_14,2021-02-16,Sports,5,279.36,1396.8000000000002
North,Store_14,2020-04-09,Clothing,6,393.15,2358.9
North,Store_2,2021-08-26,Electronics,10,19.5,195.0
North,Store_4,2021-10-01,Home & Kitchen,14,401.64,5622.96
North,Store_19,2020-08-28,Toys,3,119.05,357.15
North,Store_11,2021-08-25,Sports,1,54.06,54.06
North,Store_18,2021-10-15,Toys,9,273.9,2465.1
North,Store_1,2020-05-18,Electronics,16,164.24,2627.84
North,Store_6,2020-03-17,Home & Kitchen,1,98.57,98.57
North,Store_14,2020-10-18,Home & Kitchen,4,261.72,1046.88
North,Store_14,2021-07-10,Toys,17,419.82,7136.94
North,Store_11,2021-02-01,Toys,15,400.39,6005.849999999999
North,Store_14,2020-12-14,Electronics,17,177.97,3025.49
North,Store_4,2020-07-16,Home & Kitchen,19,93.26,1771.94
North,Store_3,2021-01-30,Home & Kitchen,1,251.53,251.53
North,Store_11,2021-03-21,Clothing,13,183.9,2390.7000000000003
North,Store_9,2020-02-17,Electronics,2,193.48,386.96
North,Store_8,2020-03-09,Sports,2,224.35,448.7
North,Store_3,2021-12-29,Clothing,11,206.39,2270.29
North,Store_18,2020-05-12,Sports,15,440.5,6607.5
North,Store_15,2021-09-08,Electronics,19,111.85,2125.15
North,Store_18,2020-01-03,Clothing,10,364.63,3646.3
North,Store_5,2020-04-04,Clothing,6,403.08,2418.48
North,Store_8,2021-01-17,Toys,8,195.79,1566.32
North,Store_3,2021-01-26,Sports,16,244.02,3904.32
North,Store_11,2021-04-15,Clothing,1,467.1,467.1
North,Store_3,2021-04-23,Electronics,4,80.97,323.88
North,Store_20,2020-11-07,Toys,17,393.12,6683.04
North,Store_12,2020-12-31,Electronics,17,223.57,3800.69
North,Store_1,2021-10-08,Toys,15,440.17,6602.55
North,Store_5,2021-10-15,Electronics,4,112.76,451.04
North,Store_17,2021-11-05,Home & Kitchen,19,188.02,3572.38
North,Store_12,2020-01-30,Sports,1,416.77,416.77
North,Store_18,2021-04-25,Clothing,14,464.16,6498.240000000001
North,Store_12,2020-10-04,Clothing,4,333.63,1334.52
North,Store_10,2021-06-22,Toys,2,269.86,539.72
North,Store_13,2021-09-12,Home & Kitchen,3,140.36,421.08
North,Store_19,2021-05-16,Toys,15,323.41,4851.150000000001
North,Store_4,2021-04-21,Toys,18,145.58,2620.44
North,Store_15,2020-11-30,Clothing,6,443.53,2661.18
North,Store_9,2021-11-25,Electronics,7,251.99,1763.93
