Region,Store,Date,ProductCategory,UnitsSold,UnitPrice,Revenue
South,Store_4,2020-10-21,Toys,10,359.36,3593.6000000000004
South,Store_20,2021-01-13,Sports,5,490.44,2452.2
South,Store_18,2021-03-01,Clothing,11,147.97,1627.67
South,Store_5,2020-07-08,Clothing,14,390.09,5461.259999999999
South,Store_12,2021-10-26,Sports,18,215.81,3884.58
South,Store_14,2021-04-25,Home & Kitchen,2,444.29,888.58
South,Store_13,2021-07-03,Clothing,17,491.39,8353.63
South,Store_8,2021-04-18,Sports,10,13.94,139.4
South,Store_11,2021-11-10,Sports,15,52.23,783.4499999999999
South,Store_17,2021-12-21,Sports,11,260.93,2870.23
South,Store_4,2020-05-17,Toys,16,10.64,170.24
South,Store_17,2021-03-03,Sports,12,355.57,4266.84
South,Store_17,2021-08-01,Sports,18,257.78,4640.039999999999
South,Store_18,2021-08-28,Electronics,7,429.98,3009.86
South,Store_9,2021-06-16,Home & Kitchen,12,489.15,5869.799999999999
South,Store_19,2020-06-09,Electronics,7,273.79,1916.53
South,Store_16,2020-06-10,Toys,11,329.89,3628.79
South,Store_4,2021-03-31,Clothing,12,429.62,5155.4400000000005
South,Store_6,2020-06-12,Sports,12,174.35,2092.2
South,Store_11,2020-01-24,Sports,16,451.28,7220.48
South,Store_3,2020-12-10,Clothing,12,204.16,2449.92
South,Store_1,2021-04-29,Clothing,16,370.06,5920.96
South,Store_12,2020-10-29,Electronics,19,152.13,2890.47
South,Store_5,2020-04-22,Clothing,11,128.1,1409.1
South,Store_18,2021-10-19,Electronics,15,62.1,931.5
South,Store_13,2021-05-05,Home & Kitchen,11,128.31,1411.41
South,Store_3,2021-10-04,Toys,18,237.02,4266.360000000001
South,Store_17,2021-06-04,Toys,4,109.18,436.72
South,Store_16,2020-09-06,Toys,5,223.71,1118.55
South,Store_2,2021-11-13,Electronics,10,266.74,2667.4
South,Store_12,2021-08-24,Toys,1,479.9,479.9
South,Store_12,2021-05-28,Home & Kitchen,11,365.9,4024.9
South,Store_9,2020-06-25,Electronics,19,125.89,2391.91
South,Store_20,2020-05-15,Sports,4,315.95,1263.8
South,Store_20,2020-08-22,Home & Kitchen,3,205.2,615.5999999999999
South,Store_17,2021-07-22,Electronics,6,208.02,1248.12
South,Store_20,2021-09-10,Clothing,10,138.89,1388.9
South,Store_10,2021-02-10,Clothing,3,191.23,573.6899999999999
South,Store_1,2021-10-23,Home & Kitchen,10,437.22,4372.200000000001
South,Store_17,2021-07-07,Home & Kitchen,2,79.94,159.88
South,Store_3,2021-07-14,Clothing,12,268.9,3226.8
South,Store_20,2021-07-28,Clothing,13,235.24,3058.12
South,Store_18,2020-02-27,Toys,16,269.99,4319.84
South,Store_15,2021-07-19,Electronics,10,60.79,607.9
South,Store_19,2020-06-10,Home & Kitchen,10,58.91,589.0999999999999
South,Store_5,2020-12-16,Electronics,17,315.49,5363.33
South,Store_15,2021-05-14,Clothing,10,323.62,3236.2
South,Store_16,2021-05-09,Sports,12,407.17,4886.04
South,Store_13,2021-06-06,Electronics,17,265.79,4518.43
South,Store_12,2021-12-01,Clothing,1,321.45,321.45
South,Store_7,2021-02-09,Clothing,5,161.03,805.15
South,Store_17,2020-12-09,Sports,6,316.31,1897.86
South,Store_3,2020-12-31,Clothing,9,22.51,202.59
South,Store_16,2020-09-02,Toys,5,207.29,1036.45
South,Store_3,2020-04-17,Electronics,1,326.75,326.75
South,Store_11,2020-05-07,Electronics,11,91.24,1003.64
South,Store_2,2020-04-24,Clothing,4,412.81,1651.24
South,Store_5,2021-12-12,Electronics,1,482.12,482.12
South,Store_11,2020-02-22,Toys,10,114.93,1149.3000000000002
South,Store_7,2020-12-06,Clothing,2,130.85,261.7
South,Store_9,2021-07-11,Clothing,7,146.1,1022.7
South,Store_5,2020-06-23,Sports,11,481.3,5294.3
South,Store_3,2021-07-19,Home & Kitchen,16,338.77,5420.32
South,Store_3,2021-01-29,Sports,19,248.96,4730.24
South,Store_8,2020-06-29,Home & Kitchen,9,240.26,2162.34
South,Store_17,2021-07-08,Clothing,1,444.14,444.14
South,Store_13,2021-11-10,Clothing,8,209.08,1672.64
South,Store_17,2021-01-12,Sports,5,444.48,2222.4
