Region,Store,Date,ProductCategory,UnitsSold,UnitPrice,Revenue
West,Store_10,2020-07-05,Sports,6,262.05,1572.3000000000002
West,Store_1,2021-01-29,Clothing,19,493.96,9385.24
West,Store_13,2020-02-11,Toys,1,184.54,184.54
West,Store_14,2021-08-22,Clothing,11,53.9,592.9
West,Store_15,2021-08-02,Home & Kitchen,16,476.48,7623.68
West,Store_20,2021-04-28,Home & Kitchen,6,11.08,66.48
West,Store_2,2020-04-11,Electronics,5,254.51,1272.55
West,Store_11,2020-08-23,Sports,6,483.04,2898.24
West,Store_4,2021-10-15,Toys,14,238.5,3339.0
West,Store_3,2020-08-17,Sports,19,71.94,1366.86
West,Store_12,2020-06-24,Clothing,15,328.12,4921.8
West,Store_18,2020-04-15,Home & Kitchen,14,349.47,4892.58
West,Store_15,2020-04-02,Home & Kitchen,4,335.94,1343.76
West,Store_19,2020-03-29,Toys,17,480.54,8169.18
West,Store_18,2020-09-08,Sports,4,92.03,368.12
West,Store_10,2020-05-02,Toys,19,364.47,6924.93
West,Store_10,2021-11-11,Clothing,12,341.15,4093.8
West,Store_7,2021-08-20,Toys,18,323.11,5815.9800000000005
West,Store_15,2020-06-28,Electronics,4,13.79,55.16
West,Store_10,2021-04-27,Sports,7,236.65,1656.55
West,Store_18,2020-09-04,Toys,16,149.43,2390.88
West,Store_10,2021-03-11,Clothing,15,303.57,4553.55
West,Store_5,2020-10-16,Toys,19,491.45,9337.55
West,Store_10,2020-07-28,Electronics,16,299.28,4788.48
West,Store_18,2020-05-19,Toys,18,499.2,8985.6
West,Store_11,2020-02-16,Clothing,14,48.33,676.62
West,Store_2,2020-05-14,Home & Kitchen,5,134.14,670.6999999999999
West,Store_12,2021-02-20,Home & Kitchen,4,269.13,1076.52
West,Store_4,2021-07-30,Home & Kitchen,6,99.28,595.6800000000001
West,Store_18,2021-03-22,Clothing,15,162.55,2438.25
West,Store_6,2021-11-02,Toys,18,425.89,7666.019999999999
West,Store_10,2020-06-26,Sports,15,88.63,1329.4499999999998
West,Store_1,2020-06-07,Clothing,4,204.55,818.2
West,Store_7,2021-01-12,Sports,14,45.59,638.26
West,Store_14,2021-04-26,Toys,1,101.95,101.95
West,Store_5,2020-10-01,Toys,17,400.86,6814.62
West,Store_2,2020-11-20,Electronics,11,344.97,3794.67
West,Store_11,2021-03-21,Clothing,7,191.83,1342.8100000000002
West,Store_13,2020-04-24,Sports,2,346.19,692.38
West,Store_14,2020-12-29,Toys,12,143.6,1723.1999999999998
West,Store_7,2021-02-11,Toys,9,252.48,2272.32
West,Store_18,2021-01-03,Sports,7,372.12,2604.84
West,Store_3,2020-12-30,Home & Kitchen,16,333.06,5328.96
West,Store_7,2021-08-01,Toys,14,254.44,3562.16
West,Store_5,2020-09-07,Sports,18,471.37,8484.66
West,Store_11,2021-01-31,Clothing,12,275.31,3303.7200000000003
West,Store_20,2021-05-04,Clothing,1,138.67,138.67
West,Store_20,2020-12-04,Home & Kitchen,11,60.08,660.88
West,Store_10,2020-07-13,Toys,14,421.12,5895.68
West,Store_2,2020-07-07,Toys,4,430.85,1723.4
West,Store_1,2021-05-26,Sports,10,359.16,3591.6000000000004
West,Store_3,2021-09-07,Electronics,13,68.81,894.53
West,Store_1,2020-05-11,Sports,10,318.36,3183.6000000000004
West,Store_8,2021-06-04,Electronics,16,169.79,2716.64
West,Store_13,2021-05-18,Toys,7,136.71,956.97
West,Store_11,2020-10-03,Electronics,1,432.23,432.23
